site_name,site_url,category,headline,subhead,primary_cta,secondary_cta,nav_labels,proof_markers_above_fold,case_studies_present,writing_present,services_positioning_present,testimonials_present,client_logos_present,metrics_outcomes_present,about_bio_present,contact_present,newsletter_present,now_present,process_present,toolstack_present,clarity_score,specificity_score,credibility_score,skimmability_score,notes
Paul Robert Lloyd,https://paulrobertlloyd.com,Independent designer and writer,"Hi, I’m Paul—","Independent designer/writer partnering with public sector teams.",Let's talk,Writing,"Writing|Speaking|Projects|Notes|Photos|Travel|Events","Clear service framing and multidimensional personal publication",yes,yes,yes,no,no,no,yes,yes,no,no,no,no,5,5,5,4,"Excellent overlap with robleto-style breadth and craft depth."
Jeremy Keith (Adactio),https://adactio.com,Web developer/author and publisher,"Jeremy Keith","Makes websites, writes books, hosts podcast, plays music.",Journal,Articles,"Journal|Links|Articles|Notes|About","High-volume publishing archive and long-term personal web practice",yes,yes,no,no,no,yes,yes,yes,no,no,no,no,4,4,5,3,"Strong exploration + writing model with durable cadence."
Jason Santa Maria,https://jasonsantamaria.com,Designer and typographer,"Jason Santa Maria","Designer with 25+ years leading multidisciplinary teams.",About me,Blog,"Blog|About|Shop","Notable roles, client list, talks/interviews, and long personal archive",yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,5,5,5,4,"High craft credibility and strong personal archive continuity."
Miriam Suzanne,https://www.miriamsuzanne.com,Interdisciplinary maker/writer,"Miriam Eric Suzanne","Writing, speaking, music, theater, code, and art artifacts.",Keep feeding,Contact,"writing|speaking|music|theater|code|art","Distinct multidisciplinary exploration and visible featured artifacts",yes,yes,no,no,no,no,yes,yes,no,no,no,yes,4,5,4,4,"Great benchmark for exploration-forward personal sites."
Dave Rupert,https://daverupert.com,Web designer/developer and writer,"Dave Rupert","Personal publishing and active projects in web design/development.",View projects,Latest posts,"About|Archives|Projects|Stories|Bookshelf|RSS","Consistent writing cadence and active projects list",yes,yes,no,no,no,no,yes,no,no,no,no,no,4,4,4,4,"Strong maker-journal mix with practical projects."
Robin Rendle,https://robinrendle.com,Software designer and writer,"README","British software designer, writer, and typographic nuisance.",Notes,Newsletter,"README|Notes|Stories|Newsletter|Photos","Distinct personal voice and ongoing writing/newsletter habit",no,yes,no,no,no,no,yes,yes,yes,no,no,no,4,4,4,5,"Strong personality-led writing benchmark."
Chris Coyier,https://chriscoyier.net,Web designer/developer and publisher,"Chris Coyier","Web designer, developer, educator, and business owner.",Latest posts,Interviews,"Interviews|Archives|Speaking|Timeline","CodePen/CSS-Tricks credibility and strong publishing cadence",yes,yes,no,no,no,no,yes,yes,no,no,no,no,5,4,5,4,"Clear authority and motivation framing with active content stream."
Lea Verou,https://lea.verou.me,Web standards leader and educator,"Lea Verou, PhD","Builds web technologies, open-source tools, and consults on usability/product.",Work with me,Blog,"Blog|Consulting|Specs|Open Source|Speaking|Publications|About","Standards/spec leadership and extensive technical writing",yes,yes,yes,no,no,no,yes,yes,no,no,no,yes,5,5,5,4,"Excellent credibility model for expertise + writing + productized knowledge."
Tobias Ahlin,https://tobiasahlin.com,Design engineer and writer,"I design, tinker, & teach.","Projects, tutorials, and prior work across major tech companies.",View blog,Say hi,"Blog|Tutorials|Projects|Work","Recognizable projects and company credibility",yes,yes,no,no,no,no,yes,yes,no,no,no,no,5,4,4,4,"Strong skimmable structure for work + writing."
Rafa el Conde,https://rafa.design,Product designer and indie maker,"Rafa el Conde","I design and make apps and stuff.",Project links,Case study,"Projects|Side projects|Social","Dense shipped-work history and maker credibility",yes,yes,no,no,no,no,yes,no,no,no,no,no,4,4,4,3,"Excellent maker portfolio archetype with many experiments."
Charli Marie,https://charlimarie.com,Designer/writer/content creator,"Helping creative professionals level up their careers","Designer, writer, speaker, and creator for brand and marketing design careers.",Get the dispatch,Go to podcast site,"Blog|Newsletter|About|Products & Services|Contact","30,000+ newsletter, featured-company logos, multi-channel education brand",yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,5,5,5,5,"High-conversion personal brand model combining content, products, and community."
